group,key,tp,fp,n,fp_rate,ci_lo,ci_hi
scanner,checkov,7,5,12,0.4166666666666667,0.19325746190524656,0.6804926643446272
scanner,kics,22,34,56,0.6071428571428571,0.476331653784818,0.7241977438248716
scanner,terrascan,16,20,36,0.5555555555555556,0.3958078731600341,0.7045897012345685
scanner,tfsec,35,13,48,0.2708333333333333,0.16565803561632889,0.40997234616201117
scanner,trivy,34,12,46,0.2608695652173913,0.15600735194449333,0.402594298082793
severity,CRITICAL,23,12,35,0.34285714285714286,0.20831495282688925,0.5084835312726328
severity,HIGH,24,24,48,0.5,0.36389098932037767,0.6361090106796223
severity,MEDIUM,37,11,48,0.22916666666666666,0.13307691028989044,0.36539535908451154
severity,LOW,21,22,43,0.5116279069767442,0.36752063766074083,0.6538279072224399
severity,INFO,9,15,24,0.625,0.42709619037907065,0.7884086656636855
