scanner,severity,tp,fp,n,fp_rate,ci_lo,ci_hi
checkov,INFO,7,5,12,0.4166666666666667,0.19325746190524656,0.6804926643446272
kics,CRITICAL,2,9,11,0.8181818181818182,0.5230138624217553,0.9486333993289995
kics,HIGH,6,6,12,0.5,0.2537781703934222,0.7462218296065778
kics,INFO,2,10,12,0.8333333333333334,0.5519636426153274,0.9530358523851776
kics,LOW,2,7,9,0.7777777777777778,0.4525833436728054,0.9367762376877727
kics,MEDIUM,10,2,12,0.16666666666666666,0.04696414761482223,0.44803635738467273
terrascan,HIGH,4,8,12,0.6666666666666666,0.3906175873976139,0.8618821601026385
terrascan,LOW,3,9,12,0.75,0.46768966087934005,0.9110599603710386
terrascan,MEDIUM,9,3,12,0.25,0.08894003962896138,0.53231033912066
tfsec,CRITICAL,9,3,12,0.25,0.08894003962896138,0.53231033912066
tfsec,HIGH,6,6,12,0.5,0.2537781703934222,0.7462218296065778
tfsec,LOW,8,4,12,0.3333333333333333,0.13811783989736134,0.609382412602386
tfsec,MEDIUM,12,0,12,0.0,0.0,0.2425007574992425
trivy,CRITICAL,12,0,12,0.0,0.0,0.2425007574992425
trivy,HIGH,8,4,12,0.3333333333333333,0.13811783989736134,0.609382412602386
trivy,LOW,8,2,10,0.2,0.056680947980693314,0.5098431532792765
trivy,MEDIUM,6,6,12,0.5,0.2537781703934222,0.7462218296065778
