model,language,flagged_samples,total_samples,rate,ci_lo,ci_hi
claude-opus-4-7,ansible,7,30,0.23333333333333334,0.11792239210501232,0.40928672330324267
claude-opus-4-7,azure_bicep,27,45,0.6,0.4545159420914473,0.7297532055204246
claude-opus-4-7,cloudformation,22,30,0.7333333333333333,0.5555169795568831,0.8581750444608938
claude-opus-4-7,gcp_dm,15,45,0.3333333333333333,0.21358692207276764,0.479297831907446
claude-opus-4-7,helm,10,30,0.3333333333333333,0.19230295526846194,0.5122027418616973
claude-opus-4-7,k8s_yaml,48,63,0.7619047619047619,0.6436410519607181,0.8500634673805303
claude-opus-4-7,terraform,56,75,0.7466666666666667,0.6378945938331628,0.8314008035205185
deepseek-v4-flash,ansible,7,30,0.23333333333333334,0.11792239210501232,0.40928672330324267
deepseek-v4-flash,azure_bicep,35,45,0.7777777777777778,0.637304262026367,0.8745544813399436
deepseek-v4-flash,cloudformation,28,30,0.9333333333333333,0.7867618227892791,0.9815233646723066
deepseek-v4-flash,gcp_dm,4,45,0.08888888888888889,0.035110548134203154,0.20733851168365702
deepseek-v4-flash,helm,12,30,0.4,0.24590394326083403,0.5767994750172616
deepseek-v4-flash,k8s_yaml,52,63,0.8253968253968254,0.713783402655744,0.8996070607682313
deepseek-v4-flash,terraform,75,75,1.0,0.9512744540953,1.0
gemini-2.5-pro,ansible,4,30,0.13333333333333333,0.05309569424218104,0.2968168394441695
gemini-2.5-pro,azure_bicep,18,45,0.4,0.27024679447957545,0.5454840579085527
gemini-2.5-pro,cloudformation,15,30,0.5,0.33153851227173764,0.6684614877282624
gemini-2.5-pro,gcp_dm,6,45,0.13333333333333333,0.0625706363434968,0.2617758224129731
gemini-2.5-pro,helm,1,30,0.03333333333333333,0.0059084379948573795,0.16670751396958874
gemini-2.5-pro,k8s_yaml,49,63,0.7777777777777778,0.6608748439801618,0.8627511613817685
gemini-2.5-pro,terraform,43,75,0.5733333333333334,0.46052588692688007,0.6789943663404308
gpt-5,ansible,11,30,0.36666666666666664,0.21873702204017678,0.5448675356639506
gpt-5,azure_bicep,32,45,0.7111111111111111,0.5663118252773978,0.8227008196809984
gpt-5,cloudformation,30,30,1.0,0.8864829086095221,1.0
gpt-5,gcp_dm,8,45,0.17777777777777778,0.0929427892585383,0.3133010684365414
gpt-5,helm,11,30,0.36666666666666664,0.21873702204017678,0.5448675356639506
gpt-5,k8s_yaml,48,63,0.7619047619047619,0.6436410519607181,0.8500634673805303
gpt-5,terraform,75,75,1.0,0.9512744540953,1.0
grok-4-3,ansible,6,30,0.2,0.09504978102401235,0.37306047381027446
grok-4-3,azure_bicep,30,45,0.6666666666666666,0.520702168092554,0.7864130779272324
grok-4-3,cloudformation,28,30,0.9333333333333333,0.7867618227892791,0.9815233646723066
grok-4-3,gcp_dm,10,45,0.2222222222222222,0.12544551866005632,0.3626957379736329
grok-4-3,helm,10,30,0.3333333333333333,0.19230295526846194,0.5122027418616973
grok-4-3,k8s_yaml,48,63,0.7619047619047619,0.6436410519607181,0.8500634673805303
grok-4-3,terraform,75,75,1.0,0.9512744540953,1.0
llama-3.3-70b,ansible,3,30,0.1,0.03459925995971615,0.25621441315266624
llama-3.3-70b,azure_bicep,37,45,0.8222222222222222,0.6866989315634587,0.9070572107414617
llama-3.3-70b,cloudformation,27,30,0.9,0.7437855868473339,0.9654007400402839
llama-3.3-70b,gcp_dm,18,45,0.4,0.27024679447957545,0.5454840579085527
llama-3.3-70b,helm,18,30,0.6,0.42320052498273836,0.7540960567391659
llama-3.3-70b,k8s_yaml,53,63,0.8412698412698413,0.7318819237681832,0.9114300256764741
llama-3.3-70b,terraform,72,75,0.96,0.8888683137691623,0.9863041839985135
qwen3-coder,ansible,6,30,0.2,0.09504978102401235,0.37306047381027446
qwen3-coder,azure_bicep,37,45,0.8222222222222222,0.6866989315634587,0.9070572107414617
qwen3-coder,cloudformation,29,30,0.9666666666666667,0.8332924860304112,0.9940915620051425
qwen3-coder,gcp_dm,14,45,0.3111111111111111,0.19528525463541907,0.4566507998754897
qwen3-coder,helm,6,30,0.2,0.09504978102401235,0.37306047381027446
qwen3-coder,k8s_yaml,51,63,0.8095238095238095,0.6959297958482789,0.8875391815550149
qwen3-coder,terraform,74,75,0.9866666666666667,0.9282646257525621,0.997642509566863
