model,scanner,flagged_samples,total_samples,rate,ci_lo,ci_hi
claude-opus-4-7,checkov,90,348,0.25862068965517243,0.21542580472750372,0.30708659858125786
claude-opus-4-7,kics,144,348,0.41379310344827586,0.36326222180980816,0.4662064936576066
claude-opus-4-7,terrascan,78,348,0.22413793103448276,0.18347146813025078,0.2708284213654768
claude-opus-4-7,tfsec,8,348,0.022988505747126436,0.011693533820428741,0.04470002509926693
claude-opus-4-7,trivy,42,348,0.1206896551724138,0.09054023264659553,0.15912211541002994
deepseek-v4-flash,checkov,149,348,0.4281609195402299,0.37723549592452915,0.48065510029831654
deepseek-v4-flash,kics,193,348,0.5545977011494253,0.5020646348152823,0.605938512055355
deepseek-v4-flash,terrascan,96,348,0.27586206896551724,0.23154286278592484,0.3250757974293538
deepseek-v4-flash,tfsec,54,348,0.15517241379310345,0.12091729141877855,0.19695757045088091
deepseek-v4-flash,trivy,97,348,0.27873563218390807,0.2342375070077577,0.3280655293586071
gemini-2.5-pro,checkov,73,348,0.20977011494252873,0.17027786428202868,0.255600144458268
gemini-2.5-pro,kics,113,348,0.32471264367816094,0.27765897934076567,0.37559407544297785
gemini-2.5-pro,terrascan,48,348,0.13793103448275862,0.1056364045993559,0.17813220036378652
gemini-2.5-pro,tfsec,14,348,0.040229885057471264,0.024112699680389992,0.0663871161458227
gemini-2.5-pro,trivy,34,348,0.09770114942528736,0.07075956798328997,0.13342777086464613
gpt-5,checkov,158,348,0.4540229885057471,0.40249798944400256,0.5065519921386187
gpt-5,kics,196,348,0.5632183908045977,0.5106969001287153,0.6143593751951805
gpt-5,terrascan,88,348,0.25287356321839083,0.2100734068149576,0.30107024419163175
gpt-5,tfsec,50,348,0.14367816091954022,0.11071088258738854,0.18442647467792622
gpt-5,trivy,87,348,0.25,0.20740107037229893,0.2980582044832042
grok-4-3,checkov,149,348,0.4281609195402299,0.37723549592452915,0.48065510029831654
grok-4-3,kics,196,348,0.5632183908045977,0.5106969001287153,0.6143593751951805
grok-4-3,terrascan,84,348,0.2413793103448276,0.19939986386180641,0.2890062825404382
grok-4-3,tfsec,53,348,0.15229885057471265,0.11835878752609105,0.19383169819248228
grok-4-3,trivy,87,348,0.25,0.20740107037229893,0.2980582044832042
llama-3.3-70b,checkov,169,348,0.48563218390804597,0.43356446698308987,0.5380136522614791
llama-3.3-70b,kics,215,348,0.617816091954023,0.5657386111076749,0.6673208110868581
llama-3.3-70b,terrascan,103,348,0.2959770114942529,0.2504541387117219,0.34595515456115994
llama-3.3-70b,tfsec,63,348,0.1810344827586207,0.14413242511326468,0.22490182211617032
llama-3.3-70b,trivy,112,348,0.3218390804597701,0.27492891635078326,0.37263976228187407
qwen3-coder,checkov,152,348,0.4367816091954023,0.3856406248048195,0.4893030998712847
qwen3-coder,kics,196,348,0.5632183908045977,0.5106969001287153,0.6143593751951805
qwen3-coder,terrascan,98,348,0.28160919540229884,0.23693450869577265,0.33105290382167823
qwen3-coder,tfsec,47,348,0.13505747126436782,0.1031067687907243,0.174977460021332
qwen3-coder,trivy,90,348,0.25862068965517243,0.21542580472750372,0.30708659858125786
